Price,Brand,Model,Year,Condition,Transmission,Fuel,Capacity,Mileage
"Rs 24,500,000",BMW,X2,2018,Used,Automatic,Petrol,"2,000 cc","20,000 km"
"Rs 28,500,000",BMW,ActiveHybrid 7,2015,Used,Automatic,Petrol,"3,000 cc","32,000 km"
"Rs 50,000,000",BMW,740Le,2017,Used,Automatic,Petrol,"2,000 cc","39,000 km"
"Rs 50,000,000",BMW,740Le,2017,Used,Automatic,Petrol,"2,000 cc","31,500 km"
"Rs 28,800,000",Mercedes Benz,C180,2018,Used,Automatic,Petrol,"1,600 cc","20,000 km"
"Rs 63,750,000",Land Rover,Range Rover Sport,2019,Used,Automatic,Petrol,"2,000 cc","14,000 km"
"Rs 18,500,000",Kia,Sorento,2014,Used,Automatic,Diesel,"2,200 cc","75,000 km"
"Rs 38,000,000",BMW,i8,2018,Used,Automatic,Petrol,"1,500 cc","10,000 km"
"Rs 14,825,000",BMW,520d,2012,Used,Tiptronic,Diesel,"2,000 cc","145,000 km"
"Rs 65,000,000",Land Rover,Range Rover,2018,Used,Automatic,Petrol,"2,000 cc","25,000 km"
"Rs 65,500,000",Land Rover,Range Rover Sport,2018,Used,Automatic,Petrol,"2,000 cc","20,000 km"
"Rs 6,850,000",Toyota,Corolla,2008,Used,Automatic,Petrol,"1,600 cc","106,500 km"
"Rs 15,400,000",Toyota,CHR,2020,Used,Automatic,Petrol,"1,190 cc","9,500 km"
"Rs 67,000,000",Land Rover,Range Rover Sport,2019,Used,Automatic,Petrol,"2,000 cc","5,000 km"
"Rs 35,000,000",Land Rover,Range Rover Sport,2012,Used,Automatic,Petrol,"5,000 cc","23,500 km"
"Rs 7,250,000",Suzuki,Spacia,2018,Used,Automatic,Hybrid,650 cc,"21,000 km"
"Rs 8,975,000",Honda,Vezel,2015,Used,Automatic,Petrol,"1,500 cc","66,000 km"
"Rs 9,000,000",Honda,Grace,2016,Used,Automatic,Hybrid,"1,500 cc","67,000 km"
"Rs 1,175,000",Tata,Indigo,2004,Used,Manual,Petrol,"1,405 cc","60,000 km"
"Rs 1,800,000",Hyundai,Accent,2001,Used,Automatic,Petrol,"1,500 cc","208,440 km"
"Rs 15,800,000",Peugeot,3008,2019,Used,Automatic,Petrol,"1,200 cc","3,500 km"
"Rs 7,225,000",Toyota,Prius,2013,Used,Automatic,Hybrid,"1,800 cc","91,000 km"
"Rs 17,950,000",Mercedes Benz,CLA 200,2014,Used,Automatic,Petrol,"1,600 cc","64,000 km"
"Rs 16,400,000",Audi,A3,2018,Used,Tiptronic,Petrol,"1,000 cc","30,500 km"
"Rs 9,950,000",Toyota,Allion,2012,Used,Automatic,Petrol,"1,500 cc","140,000 km"
"Rs 3,300,000",Nissan,Leaf,2014,Used,Automatic,Electric,70 cc,"56,000 km"
"Rs 7,000,000",Toyota,Passo,2017,Used,Automatic,Petrol,"1,000 cc","27,000 km"
"Rs 2,475,000",Micro,Panda,2016,Used,Manual,Petrol,"1,000 cc","72,000 km"
"Rs 12,350,000",Toyota,Land Cruiser Prado,2004,Used,Automatic,Petrol,"2,700 cc","192,000 km"
"Rs 21,500,000",Toyota,Harrier,2014,Used,Tiptronic,Hybrid,"2,500 cc","72,000 km"
"Rs 4,450,000",Suzuki,Wagon R FZ,2014,Used,Automatic,Hybrid,650 cc,"76,300 km"
"Rs 8,150,000",Honda,Grace,2014,Used,Automatic,Hybrid,"1,500 cc","100,000 km"
"Rs 460,000",Mitsubishi,Lancer,1985,Used,Manual,Petrol,"1,500 cc","100,000 km"
"Rs 27,300,000",Toyota,Hilux,2020,Used,Automatic,Diesel,"2,800 cc","27,000 km"
"Rs 4,525,000",Daihatsu,Mira,2016,Used,Automatic,Petrol,650 cc,"68,500 km"
"Rs 37,000,000",Toyota,Land Cruiser Prado,2015,Used,Automatic,Petrol,"2,700 cc","28,000 km"
"Rs 6,750,000",Toyota,Aqua,2014,Used,Automatic,Hybrid,"1,490 cc","68,000 km"
"Rs 4,400,000",Suzuki,Alto,2016,Used,Tiptronic,Petrol,650 cc,"76,000 km"
"Rs 3,600,000",Perodua,Viva Elite,2011,Used,Manual,Petrol,"1,000 cc","46,000 km"
"Rs 14,950,000",Toyota,Premio,2017,Used,Automatic,Petrol,"1,490 cc","40,550 km"
"Rs 25,000,000",Peugeot,5008,2019,Used,Tiptronic,Petrol,"1,200 cc","37,000 km"
"Rs 2,905,000",Suzuki,Alto,2016,Used,Manual,Petrol,800 cc,"77,500 km"
"Rs 5,475,000",Suzuki,Wagon R FZ,2017,Used,Automatic,Hybrid,650 cc,"40,500 km"
"Rs 20,500,000",Honda,CRV,2018,Used,Automatic,Petrol,"1,500 cc",261 km
"Rs 5,000,000",Nissan,Dayz,2018,Used,Automatic,Petrol,660 cc,"56,000 km"
"Rs 15,500,000",Honda,CRV,2015,Used,Automatic,Petrol,"1,997 cc","86,000 km"
"Rs 565,000",Nissan,Sunny,1982,Used,Manual,Petrol,"1,500 cc","60,000 km"
"Rs 21,250,000",Mitsubishi,Montero,2013,Used,Automatic,Diesel,"3,200 cc","89,000 km"
"Rs 8,750,000",Mitsubishi,Outlander,2010,Used,Automatic,Petrol,"3,000 cc","170,000 km"
"Rs 4,575,000",Mitsubishi,eK Wagon,2016,Used,Automatic,Petrol,660 cc,"42,000 km"
"Rs 4,800,000",Suzuki,Wagon R FX,2016,Used,Automatic,Hybrid,650 cc,"11,500 km"
"Rs 7,500,000",Toyota,Hilux,1989,Used,Manual,Diesel,"2,000 cc","275,595 km"
"Rs 10,800,000",Honda,Civic,2017,Used,Automatic,Petrol,"1,000 cc","23,000 km"
"Rs 7,850,000",Suzuki,Swift,2017,Used,Automatic,Petrol,"1,000 cc","28,000 km"
"Rs 4,650,000",Suzuki,Wagon R FX,2018,Used,Automatic,Hybrid,650 cc,"69,000 km"
"Rs 11,000,000",Mitsubishi,Outlander,2015,Reconditioned,Tiptronic,Petrol,"2,000 cc","90,000 km"
"Rs 580,000",Nissan,Dutsun,1980,Used,Manual,Petrol,"1,200 cc","60,000 km"
"Rs 7,850,000",Mercedes Benz,E220,2006,Used,Manual,Diesel,"2,000 cc","125,000 km"
"Rs 23,500,000",Mercedes Benz,E300,2014,Used,Tiptronic,Diesel,"2,200 cc","70,000 km"
"Rs 19,500,000",BMW,520d,2013,Used,Tiptronic,Diesel,"2,000 cc","60,000 km"
"Rs 23,500,000",BMW,520d,2017,Used,Tiptronic,Diesel,"2,000 cc","58,000 km"
"Rs 32,000,000",Audi,A5,2018,Used,Automatic,Petrol,"1,500 cc","15,000 km"
"Rs 5,775,000",Suzuki,Wagon R Stingray,2018,Used,Automatic,Hybrid,650 cc,"40,750 km"
"Rs 2,850,000",Suzuki,Alto,2015,Used,Manual,Petrol,800 cc,"84,248 km"
"Rs 7,300,000",Toyota,Vitz,2016,Used,Automatic,Petrol,"1,000 cc","43,900 km"
"Rs 11,200,000",Mercedes Benz,C180,2009,Used,Tiptronic,Petrol,"1,600 cc","107,000 km"
"Rs 18,600,000",Toyota,Land Cruiser Prado,2007,Used,Automatic,Diesel,"3,000 cc","220,000 km"
"Rs 5,500,000",Suzuki,Swift,2008,Used,Automatic,Petrol,"1,200 cc","115,000 km"
"Rs 15,900,000",Toyota,Premio,2017,Reconditioned,Automatic,Petrol,"1,500 cc","57,000 km"
"Rs 4,690,000",Suzuki,Wagon R Stingray,2014,Used,Automatic,Hybrid,660 cc,"46,000 km"
"Rs 6,200,000",Toyota,Prius,2010,Used,Automatic,Hybrid,"1,790 cc","128,000 km"
"Rs 5,395,000",Honda,Civic,2007,Used,Automatic,Petrol,"1,330 cc","195,000 km"
"Rs 4,800,000",Ford,Ranger,2005,Reconditioned,Manual,Diesel,"2,900 cc","240,000 km"
"Rs 1,850,000",Mitsubishi,Lancer,1993,Used,Manual,Petrol,"1,500 cc","196,000 km"
"Rs 5,000,000",Suzuki,Alto,2016,Used,Automatic,Petrol,650 cc,"47,000 km"
"Rs 6,575,000",Toyota,Allion,2005,Used,Automatic,Petrol,"1,500 cc","192,000 km"
"Rs 12,400,000",Mercedes Benz,C180,2011,Used,Automatic,Petrol,"1,800 cc","89,000 km"
"Rs 27,000,000",Mitsubishi,Montero,2014,Used,Automatic,Diesel,"3,200 cc","53,000 km"
"Rs 3,850,000",Suzuki,Alto,2010,Used,Automatic,Petrol,660 cc,"133,000 km"
"Rs 4,490,000",Daihatsu,Mira,2017,Used,Automatic,Petrol,660 cc,"43,300 km"
"Rs 7,995,000",Micro,Rexton,2008,Used,Automatic,Diesel,"2,700 cc","152,123 km"
"Rs 2,900,000",Honda,City,2000,Used,Automatic,Petrol,"1,500 cc","185,000 km"
"Rs 7,050,000",Toyota,Vitz,2016,Used,Automatic,Petrol,"1,000 cc","19,170 km"
"Rs 1,390,000",Chery,QQ,2006,Used,Manual,Petrol,812 cc,"107,805 km"
"Rs 12,800,000",Honda,Accord,2013,Used,Automatic,Hybrid,"2,000 cc","55,000 km"
"Rs 3,650,000",Nissan,Other Model,1990,Used,Manual,Diesel,"2,660 cc","191,000 km"
"Rs 7,990,000",Toyota,Aqua,2015,Used,Automatic,Hybrid,"1,500 cc","72,000 km"
"Rs 2,895,000",Suzuki,Alto,2015,Used,Manual,Petrol,800 cc,"110,000 km"
"Rs 11,000,000",Mitsubishi,Montero,2003,Reconditioned,Tiptronic,Petrol,"3,500 cc","110,000 km"
"Rs 825,000",Suzuki,Maruti,1988,Used,Manual,Petrol,800 cc,"90,000 km"
"Rs 43,000,000",BMW,i8,2017,Used,Automatic,Hybrid,"1,500 cc","4,900 km"
"Rs 2,780,000",Suzuki,Alto,2004,Used,Automatic,Petrol,600 cc,"129,400 km"
"Rs 6,300,000",Suzuki,Escudo,2007,Used,Automatic,Petrol,"2,000 cc","175,000 km"
"Rs 31,500,000",Toyota,Harrier,2017,Used,Automatic,Petrol,"2,000 cc","32,000 km"
"Rs 24,000,000",Toyota,Hilux,2019,Used,Automatic,Diesel,"2,755 cc","11,000 km"
"Rs 22,500,000",Mitsubishi,Montero,2013,Used,Automatic,Diesel,"2,500 cc","16,335 km"
"Rs 5,575,000",Toyota,Vitz,2010,Reconditioned,Automatic,Petrol,"1,000 cc","81,000 km"
"Rs 875,000",Mitsubishi,4DR,1980,Used,Manual,Petrol,"1,400 cc","175,000 km"
"Rs 8,700,000",Toyota,Prius,2015,Used,Automatic,Hybrid,"1,500 cc","138,000 km"
"Rs 4,250,000",Perodua,Viva Elite,2013,Used,Automatic,Petrol,"1,000 cc","75,000 km"
"Rs 9,850,000",Toyota,Axio,2017,Used,Automatic,Petrol,"1,490 cc","89,409 km"
"Rs 11,125,000",Toyota,Prius,2016,Used,Automatic,Electric,"1,790 cc","90,568 km"
"Rs 6,850,000",Honda,Insight,2012,Used,Automatic,Petrol,"1,330 cc","61,000 km"
"Rs 1,650,000",Tata,Indica,2004,Used,Manual,Petrol,"1,500 cc","138,000 km"
"Rs 23,500,000",Mercedes Benz,C350,2016,Used,Tiptronic,Hybrid,"2,000 cc","64,000 km"
"Rs 5,650,000",Honda,Fit Shuttle,2011,Used,Automatic,Hybrid,"1,300 cc","109,000 km"
"Rs 16,500,000",Toyota,Hilux,2015,Used,Automatic,Diesel,"2,982 cc","148,500 km"
"Rs 7,300,000",Toyota,Other Model,2008,Used,Automatic,Diesel,"2,982 cc","86,100 km"
"Rs 2,795,000",Suzuki,Alto,2015,Used,Manual,Petrol,800 cc,"46,316 km"
"Rs 7,250,000",Toyota,Prius,2013,Used,Automatic,Hybrid,"1,800 cc","103,000 km"
"Rs 1,975,000",Micro,Trend,2010,Used,Automatic,Petrol,"1,000 cc","90,000 km"
"Rs 73,500,000",Land Rover,Range Rover,2018,Used,Automatic,Petrol,"2,000 cc","18,000 km"
"Rs 10,950,000",Honda,Civic,2018,Used,Automatic,Petrol,"1,000 cc","53,000 km"
"Rs 7,150,000",Honda,Fit,2014,Used,Automatic,Hybrid,"1,500 cc","73,000 km"
"Rs 5,450,000",Suzuki,Wagon R FZ,2018,Used,Automatic,Hybrid,650 cc,"60,000 km"
"Rs 8,500,000",Honda,Grace,2014,Used,Automatic,Hybrid,"1,500 cc","62,000 km"
"Rs 7,350,000",Toyota,Vitz,2017,Used,Automatic,Petrol,"1,000 cc","28,000 km"
"Rs 9,500,000",Honda,Accord,2008,Used,Automatic,Petrol,"2,350 cc","83,000 km"
"Rs 5,250,000",Ford,Ranger,2005,Used,Manual,Diesel,"2,900 cc","167,000 km"
"Rs 2,440,000",Suzuki,Alto,2012,Used,Manual,Petrol,800 cc,"59,000 km"
"Rs 5,675,000",Toyota,Prius,2008,Used,Automatic,Hybrid,"1,500 cc","132,000 km"
"Rs 53,500,000",Toyota,Land Cruiser Prado,2019,Used,Automatic,Petrol,"2,700 cc","51,190 km"
"Rs 14,000,000",Toyota,CHR,2017,Used,Automatic,Petrol,"1,190 cc","23,000 km"
"Rs 10,475,000",Toyota,Allion,2013,Used,Automatic,Petrol,"1,500 cc","19,100 km"
"Rs 10,390,000",Toyota,Hilux,2007,Used,Manual,Diesel,"3,000 cc","135,890 km"
"Rs 3,690,000",Suzuki,Swift,2004,Used,Automatic,Petrol,"1,500 cc","95,000 km"
"Rs 5,595,000",Toyota,Prius,2011,Used,Automatic,Hybrid,"1,800 cc","198,952 km"
"Rs 2,730,000",Suzuki,Alto,2015,Used,Manual,Petrol,800 cc,"30,227 km"
"Rs 6,250,000",Toyota,Crown,2008,Used,Tiptronic,Petrol,"3,900 cc","107,500 km"
"Rs 2,495,000",Micro,Panda,2015,Used,Manual,Petrol,"1,000 cc","12,800 km"
"Rs 9,750,000",Peugeot,508,2012,Used,Tiptronic,Petrol,"1,600 cc","100,500 km"
"Rs 490,000",Toyota,Corolla,1981,Used,Manual,Petrol,"1,200 cc","300,000 km"
"Rs 8,650,000",Ford,Ranger,2012,Used,Tiptronic,Diesel,"2,500 cc","124,600 km"
"Rs 5,850,000",Nissan,X-Trail,2004,Used,Automatic,Petrol,"2,500 cc","230,000 km"
"Rs 8,450,000",Toyota,Mark,2008,Used,Tiptronic,Petrol,"2,500 cc","127,500 km"
"Rs 590,000",Mitsubishi,Lancer,1983,Used,Manual,Petrol,"1,400 cc","185,326 km"
"Rs 4,850,000",Honda,Civic,2003,Used,Automatic,Petrol,"1,500 cc","211,000 km"
"Rs 8,150,000",Toyota,Tank,2018,Used,Automatic,Petrol,"1,000 cc","16,500 km"
"Rs 5,300,000",Suzuki,Spacia,2016,Used,Automatic,Petrol,650 cc,"40,000 km"
"Rs 990,000",Kia,Clarus,1999,Used,Manual,Petrol,"2,000 cc","265,000 km"
"Rs 6,350,000",Toyota,Corolla,2007,Used,Automatic,Petrol,"1,600 cc","86,000 km"
"Rs 10,700,000",Toyota,Premio,2011,Used,Automatic,Petrol,"1,490 cc","168,000 km"
"Rs 5,300,000",Honda,Fit,2010,Used,Automatic,Hybrid,"1,330 cc","110,000 km"
"Rs 7,800,000",Honda,Vezel,2014,Used,Automatic,Petrol,"1,500 cc","112,000 km"
"Rs 28,000,000",Mitsubishi,Montero,2015,Used,Automatic,Diesel,"3,200 cc","73,000 km"
"Rs 280,000",Nissan,Dutsun,1979,Used,Manual,Petrol,"1,200 cc","45,000 km"
"Rs 11,950,000",Honda,Vezel,2016,Used,Automatic,Petrol,"1,500 cc","65,000 km"
"Rs 10,550,000",Toyota,Axio,2017,Used,Automatic,Hybrid,"1,500 cc","69,000 km"
"Rs 6,150,000",Suzuki,Alto,2016,Used,Automatic,Petrol,650 cc,"25,000 km"
"Rs 4,750,000",Suzuki,Wagon R FX,2017,Used,Automatic,Petrol,650 cc,"47,000 km"
"Rs 27,300,000",Mercedes Benz,C200,2018,Used,Automatic,Petrol,"1,500 cc","11,000 km"
"Rs 7,950,000",Toyota,Prius,2013,Used,Automatic,Hybrid,"1,800 cc","145,000 km"
"Rs 705,000",Nissan,Sunny,1983,Used,Manual,Petrol,"1,300 cc","224,000 km"
"Rs 4,490,000",Suzuki,Wagon R Stingray,2014,Used,Automatic,Hybrid,660 cc,"89,000 km"
"Rs 2,775,000",Renault,KWID,2017,Used,Manual,Petrol,800 cc,"69,000 km"
"Rs 16,800,000",Mitsubishi,Eclipse Cross,2019,New,Automatic,Petrol,"1,500 cc",0 km
"Rs 600,000",Aston Martin,Other Model,1988,Used,Manual,Diesel,240 cc,"193,200 km"
"Rs 8,675,000",Honda,Grace,2015,Used,Automatic,Petrol,"1,500 cc","95,000 km"
"Rs 4,790,000",Mitsubishi,eK Wagon,2016,Used,Automatic,Petrol,650 cc,"41,532 km"
"Rs 4,900,000",Toyota,Prius,2007,Used,Automatic,Petrol,"1,500 cc","148,000 km"
"Rs 4,750,000",Suzuki,Wagon R Stingray,2014,Used,Automatic,Hybrid,650 cc,"66,300 km"
"Rs 3,250,000",Chevrolet,Cruze,2002,Used,Automatic,Petrol,"1,300 cc","160,000 km"
"Rs 6,390,000",Toyota,Vitz,2015,Used,Automatic,Petrol,990 cc,"57,000 km"
"Rs 3,625,000",Nissan,Sunny,2002,Used,Automatic,Petrol,"1,500 cc","139,000 km"
"Rs 7,800,000",Honda,Vezel,2014,Used,Automatic,Hybrid,"1,490 cc","83,000 km"
"Rs 1,650,000",Nissan,Sunny,1993,Used,Manual,Diesel,"1,800 cc","240,000 km"
"Rs 21,900,000",Mercedes Benz,C160,2017,Used,Automatic,Petrol,"1,600 cc","43,000 km"
"Rs 10,550,000",Toyota,Premio,2011,Used,Automatic,Petrol,"1,500 cc","34,000 km"
"Rs 11,675,000",Toyota,CHR,2017,Used,Automatic,Petrol,"1,200 cc","31,000 km"
"Rs 425,000",Nissan,Sunny,1978,Used,Manual,Petrol,"1,400 cc","52,155 km"
"Rs 1,250,000",Other brand,Other model,2019,Used,Manual,Petrol,215 cc,"9,100 km"
"Rs 725,000",Mazda,Familia,1990,Used,Manual,Petrol,"1,500 cc","12,345 km"
"Rs 25,800,000",BMW,X2,2019,Used,Tiptronic,Petrol,"1,500 cc","13,000 km"
"Rs 57,500,000",Toyota,Land Cruiser Prado,2020,New,Tiptronic,Petrol,"2,700 cc",0 km
"Rs 6,275,000",Toyota,Allion,2005,Used,Automatic,Petrol,"1,500 cc","110,000 km"
"Rs 6,000,000",Suzuki,Wagon R FX,2018,New,Automatic,Petrol,660 cc,0 km
"Rs 17,400,000",Audi,A3,2018,Used,Tiptronic,Petrol,"1,000 cc","23,000 km"
"Rs 36,000,000",Land Rover,Discovery,2015,Used,Automatic,Diesel,"3,000 cc","120,000 km"
"Rs 19,500,000",Honda,CRV,2018,Used,Automatic,Petrol,"1,500 cc","40,000 km"
"Rs 4,350,000",Suzuki,Swift,2006,Used,Automatic,Petrol,"1,300 cc","95,000 km"
"Rs 1,790,000",Nissan,Sunny,1991,Used,Manual,Petrol,"1,500 cc","180,000 km"
"Rs 4,575,000",Suzuki,Wagon R FZ,2014,Used,Automatic,Hybrid,650 cc,"42,000 km"
"Rs 3,500,000",Nissan,Sunny,2000,Used,Automatic,Petrol,"1,500 cc","125,000 km"
"Rs 6,445,000",Mitsubishi,Mirage,2015,Used,Automatic,Petrol,"1,000 cc","29,000 km"
"Rs 16,500,000",Mitsubishi,Eclipse Cross,2018,Used,Tiptronic,Petrol,"1,500 cc","17,000 km"
"Rs 57,500,000",Toyota,Land Cruiser Prado,2020,New,Tiptronic,Petrol,"2,700 cc",0 km
"Rs 8,050,000",Hyundai,Tucson,2012,Used,Automatic,Petrol,"2,000 cc","79,500 km"
"Rs 21,800,000",Mercedes Benz,C200,2015,Used,Automatic,Petrol,"2,000 cc","35,000 km"
"Rs 3,950,000",BMW,Other Model,1993,Used,Manual,Petrol,"1,800 cc","140,000 km"
"Rs 15,000,000",Honda,Civic,2018,Used,Automatic,Petrol,"1,000 cc","8,000 km"
"Rs 6,135,000",Suzuki,Wagon R Stingray,2018,Used,Automatic,Hybrid,660 cc,"60,000 km"
"Rs 13,600,000",Honda,Civic,2017,Used,Tiptronic,Petrol,"1,000 cc","46,000 km"
"Rs 8,250,000",Toyota,Vitz,2018,Used,Automatic,Petrol,"1,000 cc","25,000 km"
"Rs 11,850,000",Mitsubishi,Outlander,2013,Used,Automatic,Petrol,"2,000 cc","895,603 km"
"Rs 14,450,000",Mitsubishi,Montero,2012,Used,Automatic,Diesel,"2,500 cc","96,500 km"
"Rs 3,375,000",Toyota,Vitz,2000,Used,Automatic,Petrol,"1,000 cc","116,000 km"
